stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_area
4798,,Pastogės st.,,55.62457,21.32118,https://www.stops.lt/klaipeda/index.html#stop/8859,,,2
4795,,Pastotės st.,,55.62067,21.31942,https://www.stops.lt/klaipeda/index.html#stop/8856,,,2
4796,,Pastotės st.,,55.62063,21.31954,https://www.stops.lt/klaipeda/index.html#stop/8857,,,2
4729,,Žibintų st.,,55.61607,21.33375,https://www.stops.lt/klaipeda/index.html#stop/8864,,,2
5223,,Zylių st.,,55.61879,21.32457,https://www.stops.lt/klaipeda/index.html#stop/8886,,,2
5224,,Zylių st.,,55.61878,21.32444,https://www.stops.lt/klaipeda/index.html#stop/8887,,,2
4793,,Žvejų st.,,55.62358,21.31615,https://www.stops.lt/klaipeda/index.html#stop/8854,,,2
4794,,Žvejų st.,,55.62364,21.31615,https://www.stops.lt/klaipeda/index.html#stop/8855,,,2
4617,,Slengių st.,,55.74039,21.20384,https://www.stops.lt/klaipeda/index.html#stop/8823,,,2
4618,,Slengių st.,,55.73997,21.20263,https://www.stops.lt/klaipeda/index.html#stop/8824,,,2
4621,,Trušelių st.,,55.75080,21.22793,https://www.stops.lt/klaipeda/index.html#stop/8827,,,2
4622,,Trušelių st.,,55.75054,21.22707,https://www.stops.lt/klaipeda/index.html#stop/8828,,,2
4756,,Eketės st.,,55.79860,21.19991,https://www.stops.lt/klaipeda/index.html#stop/8835,,,2
7782,,Kintai,,55.42087,21.26361,https://www.stops.lt/klaipeda/index.html#stop/9139,,,3
8100,,Kintų eiguva,,55.43191,21.28035,https://www.stops.lt/klaipeda/index.html#stop/9137,,,3
9155,,Kintų eiguva,,55.43177,21.28001,https://www.stops.lt/klaipeda/index.html#stop/9136,,,3
8777,,Kiošiai,,55.48298,21.34727,https://www.stops.lt/klaipeda/index.html#stop/9128,,,3
8778,,Kiošiai,,55.48358,21.34772,https://www.stops.lt/klaipeda/index.html#stop/9129,,,3
8095,,Kiškiai,,55.44703,21.30354,https://www.stops.lt/klaipeda/index.html#stop/9135,,,3
9154,,Kiškiai,,55.44642,21.30251,https://www.stops.lt/klaipeda/index.html#stop/9134,,,3
8165,,Sakūčiai,,55.45257,21.33992,https://www.stops.lt/klaipeda/index.html#stop/9132,,,3
8131,,Sakūčių mokykla,,55.46121,21.34612,https://www.stops.lt/klaipeda/index.html#stop/9130,,,3
8590,,Sakūčių mokykla,,55.46089,21.34633,https://www.stops.lt/klaipeda/index.html#stop/9131,,,3
7210,,Sodų st.,,55.91391,21.08256,https://www.stops.lt/klaipeda/index.html#stop/9991,,,3
9213,,Stankiškiai,,55.38203,21.22992,https://www.stops.lt/klaipeda/index.html#stop/9143,,,3
9214,,Stankiškiai,,55.38156,21.22909,https://www.stops.lt/klaipeda/index.html#stop/9142,,,3
7918,,Šturmai,,55.36521,21.21352,https://www.stops.lt/klaipeda/index.html#stop/9145,,,3
7919,,Šturmai,,55.36479,21.21327,https://www.stops.lt/klaipeda/index.html#stop/9144,,,3
7920,,Suvernai,,55.39790,21.24868,https://www.stops.lt/klaipeda/index.html#stop/9140,,,3
7921,,Suvernai,,55.39861,21.24922,https://www.stops.lt/klaipeda/index.html#stop/9141,,,3
9210,,Ventainė,,55.35789,21.20761,https://www.stops.lt/klaipeda/index.html#stop/9147,,,3
9219,,Ventainė,,55.35605,21.20591,https://www.stops.lt/klaipeda/index.html#stop/9146,,,3
8606,,Ventė,,55.34587,21.19485,https://www.stops.lt/klaipeda/index.html#stop/9149,,,3
7693,,Bajorai,,55.86972,21.22243,https://www.stops.lt/klaipeda/index.html#stop/9950,,,3
7698,,Bajorai,,55.87028,21.22314,https://www.stops.lt/klaipeda/index.html#stop/9949,,,3
7694,,Briedžio g.,,55.86580,21.21865,https://www.stops.lt/klaipeda/index.html#stop/9948,,,3
7697,,Briedžio g.,,55.86495,21.21829,https://www.stops.lt/klaipeda/index.html#stop/9947,,,3
7689,,Kalnuvėnai,,55.79784,21.14454,https://www.stops.lt/klaipeda/index.html#stop/9978,,,3
7705,,Kalnuvėnai,,55.79692,21.14425,https://www.stops.lt/klaipeda/index.html#stop/9979,,,3
7687,,Kopūstai,,55.81000,21.15654,https://www.stops.lt/klaipeda/index.html#stop/9944,,,3
7707,,Kopūstai,,55.81075,21.15764,https://www.stops.lt/klaipeda/index.html#stop/9943,,,3
7072,,Kretingalė,,55.83486,21.19376,https://www.stops.lt/klaipeda/index.html#stop/9973,,,3
7086,,Kretingalė,,55.83606,21.19431,https://www.stops.lt/klaipeda/index.html#stop/9974,,,3
7692,,Malūno g.,,55.87422,21.22548,https://www.stops.lt/klaipeda/index.html#stop/9952,,,3
7699,,Malūno g.,,55.87476,21.22597,https://www.stops.lt/klaipeda/index.html#stop/9951,,,3
7691,,Nemuno g.,,55.87945,21.22805,https://www.stops.lt/klaipeda/index.html#stop/9954,,,3
7700,,Nemuno g.,,55.88094,21.22898,https://www.stops.lt/klaipeda/index.html#stop/9953,,,3
7146,,Norfa,,55.89142,21.23410,https://www.stops.lt/klaipeda/index.html#stop/9966,,,3
